"2009, 11, 04",SELL,LSI,100
"2009, 11, 03",BUY,LSI,100
"2009, 11, 10",SELL,LSI,100
"2009, 03, 02",BUY,MAS,100
"2009, 03, 09",SELL,MAS,100
"2008, 06, 19",BUY,MSI,100
"2008, 06, 26",SELL,MSI,100
"2008, 09, 10",BUY,MSI,100
"2008, 09, 17",SELL,MSI,100
"2009, 09, 23",BUY,MSI,100
"2009, 09, 30",SELL,MSI,100
"2009, 10, 01",BUY,MSI,100
"2009, 10, 08",SELL,MSI,100
"2009, 10, 08",BUY,MSI,100
"2009, 10, 15",SELL,MSI,100
"2009, 11, 19",BUY,MSI,100
"2009, 11, 27",SELL,MSI,100
"2009, 12, 09",BUY,MSI,100
"2009, 12, 16",SELL,MSI,100
"2009, 12, 14",BUY,MSI,100
"2009, 12, 21",SELL,MSI,100
"2008, 07, 24",BUY,MU,100
"2008, 07, 31",SELL,MU,100
"2008, 08, 19",BUY,MU,100
"2008, 08, 26",SELL,MU,100
"2008, 09, 15",BUY,MU,100
"2008, 09, 22",SELL,MU,100
"2009, 04, 20",BUY,MU,100
"2009, 04, 27",SELL,MU,100
"2009, 04, 23",BUY,MU,100
"2009, 04, 30",SELL,MU,100
"2009, 05, 07",BUY,MU,100
"2009, 05, 14",SELL,MU,100
"2009, 06, 03",BUY,MU,100
"2009, 06, 10",SELL,MU,100
"2009, 06, 23",BUY,MU,100
"2009, 06, 30",SELL,MU,100
"2009, 07, 02",BUY,MU,100
"2009, 07, 10",SELL,MU,100
"2009, 03, 03",BUY,NWL,100
"2009, 03, 10",SELL,NWL,100
"2009, 03, 05",BUY,NWL,100
"2009, 03, 12",SELL,NWL,100
"2009, 03, 09",BUY,NWSA,100
"2009, 03, 16",SELL,NWSA,100
"2009, 01, 20",BUY,RF,100
"2009, 01, 27",SELL,RF,100
"2009, 04, 14",BUY,RF,100
"2009, 04, 21",SELL,RF,100
"2009, 04, 27",BUY,RF,100
"2009, 05, 04",SELL,RF,100
"2009, 05, 13",BUY,RF,100
"2009, 05, 20",SELL,RF,100
"2009, 05, 20",BUY,RF,100
